#{"t_start": 1713718523.670062, "env_id": "ALE/Breakout-v5"}
r,l,t
2.0,258,2182.859577
0.0,138,2185.152621
0.0,152,2187.78891
3.0,294,2193.607259
1.0,203,2197.171876
1.0,212,2201.18331
3.0,266,2206.633172
2.0,225,2211.698531
0.0,158,2214.077703
4.0,323,2221.636572
2.0,231,2226.514177
1.0,211,2230.207288
4.0,315,2236.80938
0.0,155,2239.518872
2.0,213,2243.541271
1.0,203,2247.449359
2.0,233,2252.403895
0.0,159,2254.738394
4.0,311,2262.431669
2.0,233,2266.905428
1.0,197,2271.068109
2.0,260,2275.872248
3.0,269,2281.036213
4.0,319,2288.281113
1.0,201,2291.821068
2.0,228,2296.498327
2.0,233,2300.894238
0.0,165,2303.114454
1.0,198,2307.181467
2.0,275,2312.504606
2.0,262,2317.445992
3.0,268,2322.861045
1.0,208,2326.868578
2.0,262,2331.768395
1.0,197,2335.283124
3.0,277,2341.285085
0.0,180,2344.507396
1.0,198,2348.088313
3.0,259,2353.39162
3.0,267,2359.29639
2.0,236,2363.719754
4.0,316,2370.704389
0.0,174,2373.373767
3.0,258,2379.089511
2.0,237,2383.496383
2.0,247,2388.102102
0.0,168,2390.798257
1.0,215,2395.203422
3.0,306,2401.372103
1.0,179,2404.462363
3.0,276,2410.552597
4.0,327,2417.246927
0.0,140,2419.408464
2.0,254,2424.097584
1.0,210,2428.135528
1.0,193,2431.678993
1.0,178,2435.485942
2.0,241,2441.138186
3.0,289,2448.501416
2.0,236,2453.713696
1.0,218,2457.493898
2.0,222,2462.757221
4.0,313,2470.171457
1.0,204,2474.007845
1.0,198,2478.292226
2.0,240,2483.384515
1.0,211,2486.95279
2.0,253,2492.289799
2.0,212,2496.897356
4.0,335,2503.938115
2.0,232,2508.740013
4.0,349,2516.448804
2.0,232,2521.488341
0.0,183,2524.166869
3.0,275,2530.501284
2.0,233,2534.999649
3.0,292,2540.793047
2.0,213,2545.331041
2.0,246,2550.216793
4.0,308,2558.381241
2.0,251,2562.960662
4.0,320,2570.447933
0.0,183,2573.225868
0.0,162,2576.541546
3.0,289,2582.708722
3.0,271,2588.730788
2.0,225,2593.890749
3.0,270,2599.848876
2.0,217,2604.505785
0.0,170,2607.391768
8.0,340,2615.625615
1.0,201,2619.890955
1.0,182,2623.622629
1.0,193,2627.280531
1.0,210,2631.875386
3.0,298,2638.606143
2.0,233,2643.80385
8.0,485,2656.260145
3.0,268,2662.234561
3.0,270,2669.137478
4.0,296,2675.754065
3.0,288,2682.870284
2.0,252,2688.15411
1.0,219,2692.122146
0.0,165,2695.028239
1.0,188,2698.940439
3.0,249,2704.598421
2.0,223,2709.763236
6.0,387,2719.3083
1.0,195,2723.254703
0.0,149,2725.693649
0.0,131,2728.07446
1.0,204,2732.460102
1.0,206,2736.30623
2.0,228,2740.637841
5.0,352,2749.701463
2.0,227,2754.485556
3.0,291,2761.195236
3.0,294,2767.964533
3.0,270,2774.225591
0.0,182,2777.595232
2.0,270,2782.890341
0.0,178,2786.217884
3.0,293,2792.597225
0.0,155,2795.466128
4.0,328,2803.628237
2.0,231,2808.44125
1.0,187,2812.267693
6.0,362,2821.451487
3.0,278,2827.730031
2.0,224,2832.514574
2.0,236,2837.277997
2.0,244,2842.090578
3.0,270,2848.700575
2.0,226,2853.483674
0.0,157,2856.343629
0.0,171,2859.331866
5.0,336,2867.446197
0.0,159,2870.326883
0.0,174,2873.68679
3.0,285,2879.863488
1.0,223,2884.202652
3.0,303,2891.024252
1.0,217,2895.288899
1.0,208,2899.175565
0.0,176,2902.061163
2.0,233,2907.324428
1.0,189,2911.317429
3.0,291,2918.041747
3.0,302,2924.497451
3.0,274,2930.701199
2.0,233,2935.948035
2.0,231,2940.755436
2.0,258,2946.19355
0.0,169,2949.051029
3.0,256,2954.769069
2.0,236,2959.953551
2.0,237,2965.45508
3.0,268,2971.302147
2.0,231,2976.122572
4.0,314,2983.788966
1.0,184,2987.680646
2.0,256,2993.513367
1.0,214,2997.329543
0.0,160,3000.226315
2.0,221,3005.516965
1.0,213,3009.97801
4.0,316,3017.363659
2.0,245,3022.476199
3.0,272,3028.427321
1.0,193,3032.090275
0.0,154,3035.090756
1.0,199,3039.23484
0.0,161,3042.448647
0.0,180,3045.311683
5.0,395,3054.549658
2.0,248,3059.423556
0.0,164,3062.7706
0.0,175,3064.99346
2.0,236,3069.711825
0.0,183,3072.866489
4.0,301,3079.789418
2.0,232,3084.535329
0.0,162,3087.339758
1.0,213,3091.482352
4.0,279,3097.819006
3.0,301,3104.496855
1.0,204,3108.680958
2.0,240,3113.07929
3.0,280,3119.465767
2.0,273,3124.609022
2.0,255,3129.287696
2.0,239,3133.6484
2.0,243,3138.517937
1.0,211,3142.515998
1.0,204,3146.177165
2.0,274,3151.299036
2.0,257,3156.36741
5.0,383,3164.661835
2.0,242,3169.626716
1.0,206,3173.622059
0.0,153,3175.9224
2.0,228,3180.286131
1.0,193,3183.571873
3.0,268,3188.909883
3.0,305,3195.414814
3.0,307,3201.994959
3.0,267,3207.506764
1.0,212,3211.273875
2.0,229,3215.848069
2.0,260,3220.562429
2.0,235,3225.189177
1.0,210,3228.611682
10.0,452,3238.581984
4.0,339,3245.458792
3.0,277,3251.35619
0.0,163,3254.017392
1.0,184,3257.471291
1.0,193,3260.934251
3.0,300,3267.115105
2.0,233,3272.364931
4.0,308,3279.315636
1.0,188,3282.857743
2.0,225,3286.842341
2.0,221,3291.845748
1.0,199,3295.815573
2.0,250,3300.374694
2.0,236,3304.964568
0.0,167,3307.096136
0.0,164,3309.567806
4.0,304,3316.093634
2.0,237,3320.854423
1.0,190,3324.487965
2.0,249,3329.220627
3.0,285,3335.831364
2.0,218,3340.433056
1.0,205,3344.71004
