#{"t_start": 1713662304.067028, "env_id": "ALE/Breakout-v5"}
r,l,t
0.0,141,1406.616226
4.0,306,1413.149862
1.0,192,1416.969111
2.0,220,1421.817229
0.0,155,1424.064935
4.0,328,1431.428955
3.0,281,1437.286775
1.0,218,1441.331892
5.0,348,1449.081847
4.0,337,1456.204304
2.0,232,1461.168712
0.0,163,1463.789152
0.0,161,1466.322517
0.0,143,1468.444878
4.0,308,1475.167377
4.0,310,1482.040522
2.0,225,1486.532324
4.0,316,1493.440366
0.0,155,1496.535943
0.0,170,1499.086998
1.0,187,1502.49638
0.0,161,1505.160913
3.0,271,1511.04751
7.0,407,1520.638535
1.0,195,1524.536223
4.0,337,1531.440117
3.0,290,1536.750748
2.0,227,1541.275196
0.0,165,1543.769499
2.0,252,1548.648895
2.0,236,1553.349923
2.0,244,1558.650943
7.0,352,1567.110423
2.0,233,1572.420115
3.0,299,1578.088346
3.0,305,1583.637367
1.0,207,1587.171241
1.0,192,1590.344013
4.0,335,1596.59622
2.0,239,1600.575814
0.0,158,1602.920903
0.0,143,1604.519074
1.0,182,1607.65267
1.0,191,1611.220193
3.0,278,1616.310246
1.0,187,1619.444067
2.0,238,1623.773836
1.0,206,1626.947681
0.0,162,1629.31894
0.0,158,1631.700761
2.0,247,1636.043219
1.0,204,1639.602707
2.0,238,1644.361519
4.0,316,1650.704702
0.0,159,1653.118612
0.0,170,1655.524017
0.0,171,1657.938938
1.0,187,1661.111797
1.0,220,1664.695773
6.0,429,1673.467225
3.0,280,1679.053868
2.0,251,1683.465854
3.0,276,1688.249496
4.0,326,1694.575214
0.0,167,1697.364821
2.0,232,1701.331372
2.0,250,1705.695301
3.0,289,1711.32389
1.0,206,1715.18073
2.0,239,1720.195678
2.0,247,1724.64686
3.0,270,1730.366117
1.0,219,1733.999505
2.0,211,1737.908117
3.0,260,1743.021096
2.0,249,1747.969246
3.0,277,1753.60319
0.0,138,1755.7321
6.0,396,1764.862525
1.0,201,1768.234343
0.0,166,1771.110273
2.0,230,1775.470683
2.0,221,1780.011133
1.0,182,1783.007474
2.0,258,1788.622545
0.0,155,1790.80332
1.0,194,1794.77425
1.0,200,1798.25675
2.0,240,1802.943097
4.0,306,1810.261658
2.0,246,1814.669245
2.0,230,1818.534527
0.0,171,1821.199225
1.0,212,1824.681887
1.0,196,1828.627756
1.0,191,1832.135725
2.0,239,1836.8907
1.0,225,1841.319908
3.0,288,1847.959399
0.0,154,1850.591011
1.0,205,1854.311754
2.0,222,1858.879724
4.0,333,1866.333609
1.0,190,1870.012315
2.0,252,1874.902754
5.0,357,1882.43749
0.0,160,1885.406117
1.0,196,1888.484426
1.0,198,1892.202642
3.0,254,1897.492864
0.0,162,1900.22727
1.0,197,1903.818353
2.0,230,1908.569217
5.0,368,1916.280888
3.0,271,1921.559107
0.0,175,1924.024501
1.0,212,1927.710911
0.0,165,1930.137299
1.0,220,1933.712812
5.0,349,1940.810385
4.0,320,1947.15988
1.0,181,1950.347019
4.0,334,1956.675658
2.0,227,1960.652207
2.0,255,1965.019261
1.0,204,1968.190331
1.0,202,1971.762646
2.0,228,1975.737218
1.0,204,1979.324105
3.0,293,1984.524753
3.0,277,1989.649576
3.0,271,1994.81072
1.0,203,1998.371178
5.0,356,2005.479299
2.0,219,2009.445146
1.0,222,2013.025015
0.0,168,2015.427745
0.0,145,2017.42674
1.0,194,2020.990876
4.0,290,2026.911897
2.0,227,2030.878505
5.0,373,2038.451655
1.0,198,2041.683556
0.0,137,2043.688987
1.0,201,2046.897263
0.0,139,2048.93862
0.0,176,2051.366763
2.0,252,2056.161864
2.0,252,2060.950522
2.0,268,2065.743153
0.0,146,2068.120512
2.0,255,2072.538494
2.0,244,2076.906344
1.0,182,2080.088057
2.0,262,2084.484936
0.0,149,2086.901153
3.0,265,2092.084996
1.0,201,2095.647534
3.0,286,2100.862121
2.0,257,2105.278234
1.0,199,2108.87312
3.0,289,2114.050215
2.0,225,2118.448661
2.0,247,2122.830647
1.0,199,2126.034086
0.0,183,2128.460684
3.0,319,2134.421373
0.0,165,2136.833467
0.0,168,2139.255096
2.0,244,2143.646081
2.0,227,2147.668913
1.0,200,2151.290771
3.0,307,2156.89484
2.0,237,2160.916703
3.0,311,2166.910815
0.0,171,2169.344691
0.0,182,2171.778583
2.0,239,2175.767471
0.0,181,2178.174357
3.0,292,2183.756517
0.0,173,2186.190818
0.0,169,2188.985858
0.0,177,2191.434212
1.0,215,2194.644377
6.0,268,2200.224959
0.0,168,2202.617205
2.0,234,2207.005782
0.0,163,2209.444556
3.0,286,2214.63133
0.0,173,2217.431802
1.0,202,2220.639307
2.0,252,2225.029592
0.0,158,2227.041527
2.0,243,2231.465437
0.0,174,2233.888124
1.0,195,2237.086974
0.0,154,2239.5072
0.0,147,2241.535504
0.0,140,2243.960034
2.0,215,2247.627222
0.0,172,2250.449028
0.0,166,2252.926469
0.0,164,2255.358628
1.0,193,2258.172528
1.0,187,2261.40842
0.0,170,2263.841128
1.0,206,2267.454875
3.0,262,2272.66454
2.0,224,2276.665573
1.0,214,2279.900971
0.0,175,2283.035902
1.0,190,2286.573243
4.0,321,2293.757529
0.0,170,2296.398727
2.0,250,2300.974738
6.0,391,2309.340634
2.0,226,2313.538705
1.0,203,2317.312805
1.0,208,2320.696293
0.0,161,2323.644273
0.0,156,2325.770718
2.0,247,2330.387228
4.0,332,2336.657572
1.0,191,2339.997436
3.0,283,2345.45273
2.0,235,2349.667045
2.0,230,2353.860825
1.0,199,2357.240757
1.0,194,2361.001334
0.0,155,2363.151013
3.0,273,2368.570573
2.0,240,2373.620522
3.0,280,2379.054464
2.0,241,2383.666386
2.0,239,2387.874831
2.0,246,2392.471311
3.0,296,2397.913389
0.0,167,2400.503584
0.0,169,2403.424084
0.0,175,2405.959447
3.0,267,2411.401247
3.0,271,2416.833196
4.0,319,2423.501997
3.0,261,2428.944766
2.0,251,2433.954423
1.0,195,2437.329634
2.0,206,2441.528315
2.0,252,2446.141861
2.0,258,2450.772802
3.0,284,2456.183099
0.0,152,2458.716085
0.0,170,2461.252075
0.0,151,2463.796711
1.0,198,2467.179019
3.0,260,2472.32145
0.0,172,2474.991728
3.0,274,2480.497151
1.0,183,2483.934828
2.0,238,2488.761672
0.0,166,2491.832722
3.0,284,2498.135932
1.0,210,2501.547406
3.0,279,2507.508823
0.0,155,2510.128679
3.0,240,2515.366443
0.0,156,2517.57548
1.0,216,2521.459386
2.0,228,2526.206679
2.0,224,2530.312481
3.0,271,2535.718785
0.0,157,2538.21992
2.0,237,2542.304281
1.0,193,2545.699305
3.0,308,2551.781123
0.0,130,2553.54263
4.0,345,2560.767302
3.0,295,2566.443207
2.0,238,2570.896301
2.0,246,2575.253437
3.0,283,2580.887383
3.0,272,2586.868965
1.0,197,2590.072186
1.0,195,2593.45807
